// Pattern 0:
00101101  // 45
11100010  // -30
01011111  // 95
10101101  // -83
10011011  // -101
10100101  // -91
11010100  // -44
01010000  // 80
00101001  // 41
10111100  // -68
00110100  // 52
01000100  // 68
00001001  // 9
10101000  // -88
10111100  // -68
10110001  // -79
01000111  // 71
01111000  // 120
11011011  // -37
01011111  // 95
10101000  // -88
01010000  // 80
11001001  // -55
10001101  // -115
10110000  // -80
00101100  // 44
00101100  // 44
00010101  // 21
10100001  // -95
00110000  // 48
10000100  // -124
10011100  // -100

// Pattern 1:
01110011  // 115
11000001  // -63
01110100  // 116
00000001  // 1
11110000  // -16
10111111  // -65
01011110  // 94
11100011  // -29
10010111  // -105
11010100  // -44
01000110  // 70
01010011  // 83
10001110  // -114
11001110  // -50
01010010  // 82
00000101  // 5
00111100  // 60
11101010  // -22
10111011  // -69
10100101  // -91
11000111  // -57
11001000  // -56
11101011  // -21
10001000  // -120
11101101  // -19
10001101  // -115
01110000  // 112
01110001  // 113
00010010  // 18
01000101  // 69
11001010  // -54
10010111  // -105

// Pattern 2:
01011111  // 95
11011001  // -39
00101001  // 41
11011011  // -37
10101010  // -86
00011100  // 28
10010100  // -108
01110010  // 114
00100000  // 32
11000111  // -57
11111111  // -1
00110011  // 51
01001011  // 75
00000010  // 2
10010110  // -106
00101011  // 43
11001101  // -51
01110011  // 115
00001010  // 10
10100011  // -93
01101001  // 105
10001110  // -114
11010000  // -48
10111010  // -70
01011101  // 93
01011111  // 95
01011100  // 92
10111100  // -68
11011011  // -37
00000000  // 0
00001100  // 12
11111010  // -6

// Pattern 3:
01010110  // 86
10110010  // -78
10100010  // -94
10001000  // -120
01001000  // 72
01001011  // 75
00100111  // 39
00110001  // 49
10001010  // -118
01101111  // 111
00011001  // 25
10100011  // -93
01000100  // 68
00011101  // 29
00010011  // 19
00000001  // 1
01010100  // 84
11010111  // -41
01100000  // 96
11001111  // -49
00101110  // 46
10000001  // -127
11010110  // -42
11110101  // -11
11001010  // -54
01000100  // 68
10100010  // -94
01011010  // 90
01001001  // 73
00101110  // 46
11100011  // -29
01011110  // 94

// Pattern 4:
10101110  // -82
10110110  // -74
01110110  // 118
11101111  // -17
00011000  // 24
01000001  // 65
00110001  // 49
11110001  // -15
00011101  // 29
10101010  // -86
00100110  // 38
10111111  // -65
00000100  // 4
00010000  // 16
00111000  // 56
11010100  // -44
01111101  // 125
11010001  // -47
10101011  // -85
01001010  // 74
10001101  // -115
01001010  // 74
01011100  // 92
10011011  // -101
10101100  // -84
10000011  // -125
11001001  // -55
10000001  // -127
01000011  // 67
01100001  // 97
01001011  // 75
11000100  // -60

